Sample,block,plot,Year,year,Precipitation,precip,precipitation_Oct_cm,precipitation_annual_cm,SPEI,moisture_samplingmonth,annual_moisture,pH,temperature_annual,NO3.N,NH4.N,TN,TOC,FlTotl,FlC4,FlC3,plant.richness,ER,GPP,NEE,Autotrophic,Heterotrophic,total_soil_respiration,litter,Mass loss
X11_12N_N_N_2,B2,N12,Y11,2011,Wet,1,13.3,55.01,-2.1621,6.33,7.739230769,6.01,17.78296903,32.39,2.67,0.131,1.238,271,69,202,7,4.042423113,6.285275348,2.242852235,1.9125,1.658333333,3.570833333,,
X11_14N_N_N_2,B3,N14,Y11,2011,Wet,1,13.3,55.01,-2.1621,7.12,8.713076923,6.09,17.90160268,22.01,2.49,0.137,1.395,287,94,192,6,5.34802144,8.169579353,2.821557913,0.329166667,2.553333333,2.8825,,
X11_17N_N_N_2,B4,N17,Y11,2011,Wet,1,13.3,55.01,-2.1621,6.03,8.844615385,6.02,18.04870407,27.72,1.7,0.08,0.71,254,76,178,7,4.938894781,7.856650397,2.917755617,1.353333333,1.798333333,3.151666667,,
X12_3N_N_N_1,B1,N03,Y12,2012,Control,0,0.5,70.24,-1.2376,5.25,8.435714286,6.39,19.85065152,16.44,2.98,0.092,0.825,312,5,307,4,4.922731776,6.612274597,1.689542821,1.634166667,0.983333333,2.6175,,
X12_6N_N_N_1,B2,N06,Y12,2012,Control,0,0.5,70.24,-1.2376,10.65,9.388095238,5.96,19.19575798,16.75,5.37,0.101,0.869,267,5,262,4,3.821657282,5.848346942,2.02668966,2.415833333,0.26,2.675833333,,
X12_19N_N_N_1,B3,N19,Y12,2012,Control,0,0.5,70.24,-1.2376,4.7,8.26047619,6.04,17.66184196,29.54,4.38,0.102,0.944,323,183,140,2,4.62119183,6.31317727,1.69198544,2.78625,1.084166667,3.870416667,,
X12_23N_N_N_1,B4,N23,Y12,2012,Control,0,0.5,70.24,-1.2376,4.85,8.91952381,5.95,17.91165403,27.2,6.65,0.157,1.723,233,5,228,4,3.481514999,4.54674919,1.065234191,1.792083333,0.983333333,2.775416667,,
X12_9N_N_N_2,B1,N09,Y12,2012,Wet,1,0.5,70.24,-1.2376,7.6,10.9752381,6.09,19.81306955,22.11,5.2,0.113,1.083,193,5,188,2,3.993939933,4.421836613,0.42789668,-0.4975,3.284166667,2.786666667,,
X12_12N_N_N_2,B2,N12,Y12,2012,Wet,1,0.5,70.24,-1.2376,5.6,9.430952381,6.37,18.48397215,11.58,6.82,0.152,1.536,300,5,296,4,3.881414599,5.124907416,1.243492817,1.565,1.280833333,2.845833333,,
X12_14N_N_N_2,B3,N14,Y12,2012,Wet,1,0.5,70.24,-1.2376,6.25,8.926190476,6.16,17.78495569,5.73,6.49,0.169,1.777,419,5,414,6,5.127550909,6.59688309,1.469332181,1.4275,1.555833333,2.983333333,,
X12_17N_N_N_2,B4,N17,Y12,2012,Wet,1,0.5,70.24,-1.2376,13.75,9.71,6.9,17.53683233,12.04,4.12,0.11,1.033,300,66,234,7,3.795855722,5.444659806,1.648804084,1.241666667,1.845833333,3.0875,,
X13_3N_N_N_1,B1,N03,Y13,2013,Control,0,8.1,99.38,0.3783,6.42,10.685,6.41,16.68461503,3.52,2.54,0.091,0.772,82.31685643,28.56120695,53.75564948,7,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333,,
X13_6N_N_N_1,B2,N06,Y13,2013,Control,0,8.1,99.38,0.3783,5.17,10.1575,6.17,16.71905034,6.23,2.9,0.091,0.716,166.8438402,38.90379216,127.940048,4,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444,,
X13_19N_N_N_1,B3,N19,Y13,2013,Control,0,8.1,99.38,0.3783,2.7,7.745,6.26,15.94106799,3.75,3.37,0.106,0.942,150.9950307,131.987059,19.00797173,4,3.994096065,5.521972925,1.527876859,1.375520833,2.132847222,3.508368056,,
X13_23N_N_N_1,B4,N23,Y13,2013,Control,0,8.1,99.38,0.3783,2.98,6.71875,6.28,16.42034861,1.65,3.15,0.113,1.16,254.0122922,28.56120695,225.4510853,5,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389,,
X13_9N_N_N_2,B1,N09,Y13,2013,Wet,1,8.1,99.38,0.3783,4.73,12.59375,6.62,17.091916,0.97,2.07,0.073,0.582,61.18511049,28.56120695,32.62390354,3,6.055958836,7.959518728,1.903559892,0.089375,2.709513889,2.798888889,,
X13_12N_N_N_2,B2,N12,Y13,2013,Wet,1,8.1,99.38,0.3783,5.74,10.5525,6.54,16.16015343,1.81,3.94,0.087,0.762,116.6559436,28.56120695,88.09473664,2,4.507311651,5.16098975,0.653678098,1.682083333,1.130902778,2.812986111,,
X13_14N_N_N_2,B3,N14,Y13,2013,Wet,1,8.1,99.38,0.3783,3.47,8.35375,6.69,15.95355201,1.5,3.09,0.078,0.657,235.5220145,28.56120695,206.9608076,5,4.147401223,5.248939627,1.101538404,1.427847222,1.704097222,3.131944444,,
X13_17N_N_N_2,B4,N17,Y13,2013,Wet,1,8.1,99.38,0.3783,4.42,11.8475,6.37,15.99258654,0.8,2.52,0.078,0.654,364.9539584,28.56120695,336.3927514,6,5.964979802,6.483381782,0.51840198,1.680972222,1.941319444,3.622291667,,
X14_3N_N_N_1,B1,N03,Y14,2014,Control,0,5.8,60.99,-0.8941,2.57,5.6,6.04,16.98552004,13.49,2.75,0.08,0.645,80.279,66.307,13.972,3,2.86065106,5.648362933,2.787711873,1.311001157,1.45662037,2.767621528,,
X14_6N_N_N_1,B2,N06,Y14,2014,Control,0,5.8,60.99,-0.8941,3.53,4.696666667,5.8,16.60254704,13.27,3.13,0.078,0.67,85.977,70.365,15.612,5,1.681880455,3.797752721,2.115872266,0.967679398,1.426597222,2.39427662,,
X14_19N_N_N_1,B3,N19,Y14,2014,Control,0,5.8,60.99,-0.8941,5.37,5.588,6.08,17.00508529,14.45,4.44,0.137,1.365,165.749,155.057,10.692,4,3.672946355,5.598588258,1.925641903,0.786293403,2.385237269,3.171530671,,
X14_23N_N_N_1,B4,N23,Y14,2014,Control,0,5.8,60.99,-0.8941,2.7,4.82,5.88,17.27083114,12.71,9.65,0.108,1.11,182.843,139.351,43.492,3,2.164266612,3.463765618,1.299499006,0.181958912,2.706203704,2.888162616,,
X14_9N_N_N_2,B1,N09,Y14,2014,Wet,1,5.8,60.99,-0.8941,2.93,4.983333333,5.96,16.91828736,8.78,2.97,0.089,0.803,114.467,90.655,23.812,5,4.581271229,7.731736223,3.150464994,0.537447917,2.116626157,2.654074074,,
X14_12N_N_N_2,B2,N12,Y14,2014,Wet,1,5.8,60.99,-0.8941,3.43,7.096,6.12,16.12087074,8.02,3.62,0.1,0.923,114.467,90.655,23.812,2,2.761906468,4.202433712,1.440527243,1.076006944,1.603408565,2.679415509,,
X14_14N_N_N_2,B3,N14,Y14,2014,Wet,1,5.8,60.99,-0.8941,7.07,6.836,6.32,16.88770818,2.83,3.49,0.072,0.619,194.239,180.267,13.972,3,3.568368038,3.773937315,0.205569277,1.460376157,2.198119213,3.65849537,,
X14_17N_N_N_2,B4,N17,Y14,2014,Wet,1,5.8,60.99,-0.8941,4.63,6.072,6.12,17.0043879,17.41,3.11,0.095,0.833,188.541,164.729,23.812,4,3.21246308,3.981303665,0.768840584,1.135914352,2.302609954,3.438524306,,
X15_3N_N_N_1,B1,N03,Y15,2015,Control,0,11.74,160.5788,1.3468,2.666666667,9.057575758,6.39,19.69763339,0.01,1.39,0.084,0.673,451.765535,190.6885839,261.0769511,8,2.992787304,3.590050613,0.597263309,0.178888889,2.512222222,2.691111111,,
X15_6N_N_N_1,B2,N06,Y15,2015,Control,0,11.74,160.5788,1.3468,0.366666667,7.766666667,5.77,19.57419498,0.54,2.39,0.093,0.82,451.765535,135.5166349,316.2489001,5,4.432434721,6.135988057,1.703553337,0.846666667,1.977777778,2.824444444,,
X15_19N_N_N_1,B3,N19,Y15,2015,Control,0,11.74,160.5788,1.3468,4.766666667,12.07878788,6.2,16.39923517,1.25,0.95,0.074,0.582,307.4354708,222.2154119,85.22005885,2,3.793271203,3.84588661,0.052615407,0.785777778,3.884444444,4.670222222,,
X15_23N_N_N_1,B4,N23,Y15,2015,Control,0,11.74,160.5788,1.3468,1.866666667,10.88181818,6.66,16.93818213,1.6,2.02,0.106,1.11,503.3119864,324.677603,178.6343835,7,3.912098605,5.331049986,1.418951381,0.608888889,4.257777778,4.866666667,,
X15_9N_N_N_2,B1,N09,Y15,2015,Wet,1,11.74,160.5788,1.3468,3.533333333,13.08666667,6.27,20.27387775,2.44,1.06,0.072,0.512,467.2294704,127.6349278,339.5945426,8,4.9563897,7.210201213,2.253811513,-0.006666667,4.653703704,4.647037037,,
X15_12N_N_N_2,B2,N12,Y15,2015,Wet,1,11.74,160.5788,1.3468,2.833333333,12.01,5.97,19.22691372,3.78,1.15,0.087,0.684,333.2086965,127.6349278,205.5737687,6,4.31891048,5.258390924,0.939480444,0.464444444,2.832222222,3.296666667,,
X15_14N_N_N_2,B3,N14,Y15,2015,Wet,1,11.74,160.5788,1.3468,7.433333333,13.34545455,6.41,16.41550161,1.41,1.88,0.076,0.852,389.9097932,237.9788259,151.9309672,7,4.305218781,3.799574782,-0.505644,2.028888889,3.295555556,5.324444444,,
X15_17N_N_N_2,B4,N17,Y15,2015,Wet,1,11.74,160.5788,1.3468,3.033333333,12.8,6.29,16.84407976,1.62,0.74,0.074,0.685,317.7447611,127.6349278,190.1098332,6,3.956741846,4.556117184,0.599375338,-2.581111111,4.072222222,1.491111111,,
X16_3N_N_N_1,B1,N03,Y16,2016,Control,0,1.47,92.3544,0.1101,22.36666667,10.67619048,7.56,17.13615215,0.58,2.88,0.101,0.845,408.2750734,0.001,408.2740734,8,1.520767571,2.785725708,1.264958137,0.98625,2.205,3.19125,0.7034,85.932
X16_6N_N_N_1,B2,N06,Y16,2016,Control,0,1.47,92.3544,0.1101,17.53333333,8.573809524,7.17,17.37960349,3.4,2.99,0.075,0.623,90.81125138,5.414290286,85.3969611,12,2.928629806,3.400727295,0.472097488,1.258125,2.535625,3.79375,0.8318,83.364
X16_19N_N_N_1,B3,N19,Y16,2016,Control,0,1.47,92.3544,0.1101,31.66666667,14.78809524,7.53,16.8649115,0.41,5.63,0.091,0.884,145.2588869,143.6738194,1.585067429,3,2.447984797,2.212237376,-0.136390371,2.266875,3.59625,5.863125,1.09075,78.185
X16_23N_N_N_1,B4,N23,Y16,2016,Control,0,1.47,92.3544,0.1101,26.33333333,12.9547619,6.95,17.24038876,4.61,2.54,0.086,0.838,175.1252806,124.6202245,50.50505614,8,3.379746921,4.661011252,1.281264331,0.9975,4.28875,5.28625,0.9923,80.154
X16_9N_N_N_2,B1,N09,Y16,2016,Wet,1,1.47,92.3544,0.1101,33.66666667,13.75952381,7.09,17.41466311,6.01,2.21,0.082,0.598,154.0308803,128.7870909,25.24378946,9,3.580749362,4.816947092,1.076191626,0.499375,4.138125,4.6375,0.83135,83.373
X16_12N_N_N_2,B2,N12,Y16,2016,Wet,1,1.47,92.3544,0.1101,24,12.57619048,7.7,16.86969932,4.53,3.83,0.118,1.072,64.64042683,10.15715886,54.48326797,7,3.504558608,4.804165449,1.267082219,1.581875,2.921875,4.50375,0.3182,93.636
X16_14N_N_N_2,B3,N14,Y16,2016,Wet,1,1.47,92.3544,0.1101,30.76666667,15.43333333,7.68,17.36520392,1.62,1.7,0.091,0.705,272.0485423,262.2287668,9.819775543,5,2.918539102,3.657439132,0.73890003,4.204375,3.18875,7.393125,0.19515,96.097
X16_17N_N_N_2,B4,N17,Y16,2016,Wet,1,1.47,92.3544,0.1101,26.53333333,12.39047619,7.39,17.4260072,2.73,4.28,0.129,1.326,677.9112083,5.667529143,672.2436791,8,4.650110007,5.962491547,1.418901286,-0.208125,4.0825,3.874375,0.36245,92.751
